# {"t_start": 1587174793.4602897, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,256,4.329025
0,256,5.677942
0,256,7.02607
0,256,8.432646
0.574609,121,9.096293
0.585156,118,9.74516
0.518359,137,10.456739
0,256,11.814267
0,256,13.180221
0,256,14.566874
0.71875,80,15.088078
0.637891,103,15.691494
0.286328,203,16.665032
0.634375,104,17.280445
0.117578,251,18.655137
0.866406,38,19.043361
0.746875,72,19.292481
0.216016,223,20.557762
0.898047,29,20.656024
0.852344,42,20.798551
0,256,22.159419
0.873437,36,22.529232
0,256,23.887536
0.472656,150,24.639848
0,256,25.995266
0.138672,245,27.315518
0.848828,43,27.460278
0.300391,199,28.630697
0.954297,13,28.674392
0.940234,17,28.730524
0.574609,121,29.457547
0.929688,20,29.524351
0.919141,23,29.600829
0.55,128,30.283343
0.342578,187,31.411869
0.757422,69,31.652166
0.423438,164,32.455776
0.708203,83,32.982115
0,256,34.344826
0.465625,152,35.107116
0.929688,20,35.174863
0.961328,11,35.456186
0.219531,222,36.463717
0.441016,159,37.250516
0.184375,232,38.5251
0.704687,84,39.063944
0.929688,20,39.133421
0.876953,35,39.253744
0.247656,214,40.471203
0.908594,26,40.558698
0.746875,72,41.046149
0,256,42.406149
0.644922,101,43.002719
0.560547,125,43.672514
0,256,45.04179
0.623828,107,45.407854
0,256,46.762345
0.6625,96,47.335906
0.817187,52,47.762743
0.500781,142,48.494877
0,256,49.853048
0.866406,38,49.981921
0.852344,42,50.124881
0,256,51.491624
0.342578,187,52.697312
0.834766,47,52.857827
0.817187,52,53.35171
0.377734,177,54.210444
0.697656,86,54.751526
0.469141,151,55.516155
0.680078,91,55.823521
0.866406,38,56.197673
0.690625,88,56.499631
0.423438,164,57.568318
0.511328,139,58.360995
0.736328,75,58.61717
0.894531,30,58.972197
0.560547,125,59.648036
0.876953,35,59.766533
0.746875,72,60.019633
0.827734,49,60.431177
0.764453,67,60.663658
0.680078,91,61.220165
0.669531,94,61.795592
0.961328,11,61.836967
0.687109,89,62.385857
0.725781,78,62.653059
0.441016,159,63.436464
0,256,64.79381
0.701172,85,65.401349
0.936719,18,65.462329
0.644922,101,66.050176
0.912109,25,66.135168
0.950781,14,66.182518
0.891016,31,66.537668
0.855859,41,66.67772
0.813672,53,66.858791
0,256,68.221099
0.866406,38,68.597064
0.444531,158,69.383281
0.848828,43,69.531292
0.4375,160,70.324876
0.936719,18,70.632177
0.402344,170,71.457989
0.430469,162,72.324204
0.613281,110,72.968726
0.901563,28,73.064544
0.894531,30,73.409743
0,256,74.832747
0,256,76.27003
0.704687,84,76.557444
0.613281,110,77.171216
0.834766,47,77.338272
0.458594,154,78.41748
0.430469,162,79.21218
0.848828,43,79.357592
0.107031,254,80.717487
0,256,82.090536
0.191406,230,83.440185
0.782031,62,83.649457
0.947266,15,84.012662
0.792578,59,84.217606
0.739844,74,84.714296
0.666016,95,85.034126
0.820703,51,85.453788
0.753906,70,85.689024
0.746875,72,86.17756
0.687109,89,86.724466
0.430469,162,87.534259
0.905078,27,87.630716
0.806641,55,87.821841
0.711719,82,88.420573
0.933203,19,88.485704
0.936719,18,88.549628
0.859375,40,88.937584
0.325,192,89.872289
0.771484,65,90.346676
0.669531,94,90.678659
0,256,92.140987
0.528906,134,92.852959
0.592187,116,93.492264
0.933203,19,93.801827
0.813672,53,93.982013
0.869922,37,94.108353
0.655469,98,94.683381
0.514844,138,95.395521
0.947266,15,95.446006
0.926172,21,95.520504
0.908594,26,95.854461
0.908594,26,95.941159
0.465625,152,96.706729
0.785547,61,96.913928
0.680078,91,97.469209
0.782031,62,97.925978
0.578125,120,98.578972
0.518359,137,99.289188
0.957812,12,99.330324
0.817187,52,99.50671
0.360156,182,100.616503
0.905078,27,100.709985
0.866406,38,100.838928
0.957812,12,100.880221
0.891016,31,100.984677
0.782031,62,101.442641
0.957812,12,101.486561
0.792578,59,101.689949
0.546484,129,102.367647
0.905078,27,102.707577
0.813672,53,102.886641
0.950781,14,102.934678
0.817187,52,103.352811
0.637891,103,103.70289
0.961328,11,103.740748
0.933203,19,104.053665
0.905078,27,104.146657
0.859375,40,104.285465
0.634375,104,104.883818
0.419922,165,105.692804
0.947266,15,105.744026
0.732812,76,106.245696
0.873437,36,106.366877
0.915625,24,106.448326
0.743359,73,106.942918
0.669531,94,107.509246
0.901563,28,107.602922
0.542969,130,108.29531
0.915625,24,108.381299
0.644922,101,108.968217
0.94375,16,109.02351
0.936719,18,109.084932
0.697656,86,109.624967
0.954297,13,109.670139
0.929688,20,109.737743
0.866406,38,109.868002
0.947266,15,110.162877
0.708203,83,110.449109
0.49375,144,111.197799
0.873437,36,111.564403
0.876953,35,111.684187
0.957812,12,111.725869
0.947266,15,111.777251
0.796094,58,112.215259
0.525391,135,112.927491
0.644922,101,113.273664
0.947266,15,113.568825
