# {"t_start": 1587147577.6019225, "env_id": "MiniGrid-Empty-6x6-v0"} 
r,l,t
0.66875,53,3.181282
0,144,3.720122
0,144,4.227575
0,144,4.735183
0,144,5.243534
0.78125,35,5.488619
0,144,5.998487
0.3125,110,6.424046
0,144,6.930315
0,144,7.438463
0,144,7.950511
0,144,8.464258
0.31875,109,8.912675
0,144,9.414416
0.775,36,9.501001
0.41875,93,9.945709
0.3125,110,10.370695
0.45,88,10.748945
0,144,11.259861
0.86875,21,11.311566
0.68125,51,11.435296
0.5625,70,11.766632
0.43125,91,12.20453
0.60625,63,12.363494
0.9125,14,12.400138
0.88125,19,12.448889
0.61875,61,12.763494
0.7875,34,12.847006
0.525,76,13.192972
0.88125,19,13.238557
0.825,28,13.305284
0.93125,11,13.332074
0.63125,59,13.636941
0.24375,121,14.089282
0.4875,82,14.285666
0.8625,22,14.339782
0.85625,23,14.560262
0.6125,62,14.713691
0.90625,15,14.750252
0.4875,82,15.109278
0.30625,111,15.538435
0.6625,54,15.670126
0.86875,21,15.720017
0.59375,65,16.040814
0.95,8,16.060643
0.40625,95,16.451403
0.89375,17,16.493725
0.76875,37,16.5833
0.86875,21,16.634529
0.61875,61,16.94392
0.7875,34,17.025752
0,144,17.531371
0.63125,59,17.832184
0.89375,17,17.873676
0.78125,35,17.957333
0.73125,43,18.062712
0,144,18.567256
0.60625,63,18.884048
0.89375,17,18.924005
0.80625,31,18.997689
0.9125,14,19.031348
0,144,19.537177
0.9125,14,19.735139
0.5375,74,19.909785
0.78125,35,19.993081
0.40625,95,20.383503
0.6,64,20.699178
0.7875,34,20.781756
0.125,140,21.284412
0.66875,53,21.412138
0.88125,19,21.61979
0,144,22.126686
0.85625,23,22.181412
0.68125,51,22.301419
0.2,128,22.767336
0.86875,21,22.818238
0,144,23.482997
0.75625,39,23.575692
0.46875,85,23.938367
0.9375,10,23.962749
0.7375,42,24.063816
0.48125,83,24.427123
0.94375,9,24.450278
0.49375,81,24.640334
0.93125,11,24.667145
0.425,92,25.047474
0.55,72,25.38047
0,144,25.88495
0,144,26.394677
0.9375,10,26.418883
0.9375,10,26.44377
0.95,8,26.46267
0.71875,45,26.728346
0.7625,38,26.819202
0,144,27.379313
0.94375,9,27.400732
0.60625,63,27.550613
0.64375,57,27.849443
0.8375,26,27.912571
0.43125,91,28.346917
0.56875,69,28.51317
0.94375,9,28.534931
0.6875,50,28.816555
0.75,40,28.911415
0.9125,14,28.944723
0.475,84,29.307714
0.9375,10,29.331869
0.525,76,29.682447
0.4,96,29.907062
0.20625,127,30.37063
0.61875,61,30.72646
0,144,31.228884
0.775,36,31.311776
0,144,31.821727
0.54375,73,32.156114
0.91875,13,32.186636
0.71875,45,32.293651
0.9125,14,32.327385
0.51875,77,32.714664
0.5,80,33.068923
0.375,100,33.306006
0.94375,9,33.486897
0.91875,13,33.518862
0.63125,59,33.661055
0.8375,26,33.723544
0.58125,67,34.044856
0.75625,39,34.138224
0.9375,10,34.162865
0.61875,61,34.468246
0.81875,29,34.539394
0,144,35.066656
0.8375,26,35.129362
0.5875,66,35.449674
0,144,35.960686
0.675,52,36.085948
0.60625,63,36.407746
0.79375,33,36.486471
0.475,84,36.860957
0.88125,19,36.90818
0.5375,74,37.08786
0.88125,19,37.303413
0.95,8,37.32267
0.49375,81,37.522171
0.9,16,37.562125
0.8875,18,37.785185
0,144,38.305912
0,144,38.821422
0.85625,23,38.879601
0.91875,13,38.911339
0.9,16,38.949914
0.91875,13,38.981012
0,144,39.498931
0.9375,10,39.692707
0.85625,23,39.748453
0.9,16,39.786621
0.35625,103,40.200328
0.66875,53,40.327124
0.50625,79,40.685426
0.88125,19,40.730628
0.89375,17,40.77214
0.78125,35,40.863138
0.66875,53,41.155849
0.9125,14,41.191063
0.45625,87,41.396964
0.6625,54,41.688866
0.49375,81,41.884003
0,144,42.561592
0,144,43.075418
0.91875,13,43.106818
0.70625,47,43.217641
0.58125,67,43.546714
0.85,24,43.604826
0.9125,14,43.637621
0.95625,7,43.65418
0.9125,14,43.686959
0.31875,109,44.112063
0.925,12,44.139968
0.475,84,44.507032
0.8875,18,44.549105
0.5875,66,44.706141
0.93125,11,44.898799
0.6625,54,45.026913
0,144,45.533959
0.8375,26,45.597195
0.91875,13,45.628799
0.56875,69,45.958249
0.85625,23,46.016527
0.85,24,46.074646
0.9,16,46.112673
0.93125,11,46.138977
0.93125,11,46.334224
0.56875,69,46.497759
0.6625,54,46.796162
0.8,32,46.872659
0.875,20,46.919908
0.66875,53,47.046618
0.43125,91,47.431971
0.76875,37,47.524399
0.91875,13,47.554915
0.55,72,47.894811
0,144,48.412884
0.91875,13,48.445552
0.8625,22,48.497433
0.28125,115,48.928332
0.90625,15,48.963291
0.9,16,49.214507
0.25625,119,49.502772
0.89375,17,49.706019
0.475,84,49.906551
0,144,50.41105
0.33125,107,50.826824
0.90625,15,50.864196
0.95625,7,50.880964
0.8125,30,51.134071
0.86875,21,51.18412
0.91875,13,51.214225
0.7375,42,51.313943
0.63125,59,51.614427
0.79375,33,51.69278
0.54375,73,52.027027
0.9375,10,52.052261
0.75,40,52.149061
0.7625,38,52.239199
0.84375,25,52.300752
0,144,52.967657
0.80625,31,53.041464
0.78125,35,53.126314
0.80625,31,53.200274
0.775,36,53.44657
0.83125,27,53.511258
0.775,36,53.597014
0.9375,10,53.620059
0.475,84,53.979383
0.91875,13,54.010709
0.84375,25,54.070301
0.85,24,54.127228
0.8875,18,54.170208
0.91875,13,54.360042
0.825,28,54.428918
0.80625,31,54.505236
0.7,48,54.620685
0.575,68,54.943094
0.55,72,55.114377
0,144,55.777219
0.43125,91,55.997374
0.375,100,56.390449
0.55625,71,56.718572
0.9125,14,56.752442
0,144,57.306657
0.575,68,57.467692
0.91875,13,57.498464
0.95,8,57.677695
0.9,16,57.717945
0.9,16,57.755801
0.95,8,57.775832
0.14375,137,58.358303
0.13125,139,58.849595
0.9,16,58.888262
0.93125,11,58.914571
0.83125,27,58.978358
0.81875,29,59.208866
0.94375,9,59.230933
0.425,92,59.446302
0.625,60,59.803804
0.5125,78,60.151431
0.35,104,60.406631
0.9125,14,60.440875
0.7875,34,60.685029
0.8625,22,60.73784
0.74375,41,60.834263
0.93125,11,60.860192
0.95625,7,60.876692
0.88125,19,61.082775
0.85,24,61.140616
0.825,28,61.207554
0.725,44,61.311555
0.40625,95,61.698596
0.5375,74,62.038979
0.75625,39,62.130892
0.45625,87,62.5024
0.40625,95,62.732163
0.19375,129,63.262064
0.95625,7,63.278543
0.83125,27,63.507168
0.49375,81,63.706305
0.95,8,63.725101
0.60625,63,64.040702
0.89375,17,64.081618
0.40625,95,64.471775
0.625,60,64.616952
0.76875,37,64.70711
0.925,12,64.735063
0.95625,7,64.912583
0.85,24,64.970437
0,144,65.484556
0.4,96,65.874799
0.9125,14,65.908314
0.71875,45,66.015832
0.53125,75,66.357089
0.925,12,66.386912
0.9,16,66.425602
0.71875,45,66.532833
0.95,8,66.553805
0,144,67.062003
0.95625,7,67.079522
0.93125,11,67.321227
0.8375,26,67.383194
0.7125,46,67.492281
0.94375,9,67.513585
0.95,8,67.532877
0.94375,9,67.554179
0.8375,26,67.778864
0.95625,7,67.795965
0.75,40,67.894299
0.925,12,67.923527
0.8375,26,67.985139
0.64375,57,68.290463
0.85625,23,68.34581
0.875,20,68.393203
0.90625,15,68.428615
0.81875,29,68.496669
0.925,12,68.525884
0.93125,11,68.552084
0.3625,102,68.958409
0.8875,18,69.00402
0.23125,123,69.462242
0.54375,73,69.794543
0,144,70.301804
0.93125,11,70.327684
0.93125,11,70.35354
0.76875,37,70.602166
0.75,40,70.699492
0.925,12,70.727879
0.6125,62,70.877881
0.18125,131,71.355466
0.95625,7,71.532762
0.4125,94,71.763465
0.94375,9,71.784832
0.6125,62,72.094104
0.24375,121,72.547692
0.93125,11,72.574361
0,144,73.074304
0.74375,41,73.171091
0.94375,9,73.192597
0.825,28,73.419588
0.89375,17,73.460642
0.5625,70,73.626363
0.15,136,74.111585
0.85625,23,74.16691
0.54375,73,74.500561
0.31875,109,74.922665
0.8875,18,74.966194
0.375,100,75.367311
0.85,24,75.424715
0.65,56,75.556117
0.86875,21,75.768595
0.925,12,75.797302
0.63125,59,75.938206
0.225,124,76.399009
0.94375,9,76.420577
0.61875,61,76.726949
0.55625,71,76.896203
0.825,28,76.962992
0.3125,110,77.385579
0.89375,17,77.42663
0.86875,21,77.638884
0.95625,7,77.655447
0.66875,53,77.780958
0.91875,13,77.812058
0.95625,7,77.829079
0.88125,19,77.874294
0.4,96,78.263896
0,144,78.776316
0.88125,19,78.821762
0.95,8,78.841812
0.91875,13,79.034797
0.70625,47,79.148036
0.85,24,79.204666
0,144,79.711249
0,144,80.217816
0.7875,34,80.46103
0.4625,86,80.668879
0,144,81.175836
0.74375,41,81.433621
0.55,72,81.605111
0.66875,53,81.894156
0.79375,33,81.971177
0.7125,46,82.080593
0.74375,41,82.342889
0.46875,85,82.547885
