# {"t_start": 1587185680.3579855, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0,1024,15.222345
0,1024,22.196037
0,1024,29.239405
0,1024,36.295543
0,1024,43.306358
0,1024,50.272018
0,1024,57.203302
0,1024,64.152624
0,1024,71.166042
0,1024,78.197457
0,1024,85.158607
0,1024,92.270166
0,1024,99.289966
0.727539,310,101.62347
0,1024,108.574407
0.884863,131,109.465842
0.717871,321,111.55305
0.820703,204,113.087766
0.587793,469,116.413125
0.741602,294,118.347425
0.794336,234,119.970298
0.834766,188,121.109495
0.65459,393,123.739552
0.883984,132,124.606528
0.727539,310,126.934753
0.941992,66,127.212937
0.85498,165,128.580101
0.930566,79,128.914845
0.821582,203,130.420517
0,1024,137.37078
0.842676,179,138.467779
0.921777,89,139.216143
0.812793,213,140.769492
0.819824,205,141.96889
0.960449,45,142.46745
0.754785,279,144.339324
0.78291,247,146.04473
0.869922,148,146.981081
0.504297,564,150.676933
0.750391,284,152.583932
0.527148,538,156.473638
0.221289,886,162.438751
0.53418,530,166.01558
0.95957,46,166.211323
0.956934,49,166.416458
0.67832,366,169.051301
0.870801,147,170.002893
0.771484,260,171.762078
0.615918,437,174.900536
0.968359,36,175.050694
0.450684,625,179.36118
0.930566,79,180.075858
0.359277,729,184.884841
0.905078,108,185.689127
0.847949,173,187.082387
0.870801,147,188.075733
0.892773,122,188.91998
0.908594,104,189.362081
0.731934,305,191.629668
0.596582,459,194.563058
0.934082,75,195.193853
0.595703,460,198.382306
0.945508,62,198.648823
0.884863,131,199.535929
0.941113,67,200.147998
0.95166,55,200.386407
0.79873,229,202.012592
0.811914,214,203.589851
0.962207,43,203.806636
0.934082,75,204.114385
0.965723,39,204.646354
0.952539,54,204.880871
0.804883,222,206.52246
0.902441,111,207.30453
0.859375,160,208.33938
0.804004,223,209.951687
0.764453,268,211.745421
0.95166,55,211.979322
0.95166,55,212.535061
0.87959,137,213.434846
0.830371,193,214.565188
0.926172,84,215.25828
0.760059,273,217.100671
0.889258,126,217.959096
0.914746,97,218.702824
0.89541,119,219.545984
