# {"t_start": 1587156943.7874253, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0.448926,627,5.845262
0,1024,10.808531
0,1024,15.723364
0,1024,20.601138
0,1024,25.542305
0,1024,30.476623
0.4375,640,33.471931
0.455957,619,36.45846
0.850586,170,37.433916
0.519238,547,39.982073
0,1024,44.882331
0.426074,653,48.052651
0,1024,53.068549
0.753906,280,54.361241
0.876953,140,54.991334
0.958691,47,55.348372
0.791699,237,56.305913
0.958691,47,56.682384
0.760938,272,57.934093
0.886621,129,58.565387
0.910352,102,59.102996
0.948145,59,59.271317
0.658105,389,61.109902
0.938477,70,61.529727
0.954297,52,61.678491
0.731934,305,63.261854
0.535937,528,65.776449
0.902441,111,66.349995
0.818945,206,67.19287
0.251172,852,71.396755
0.932324,77,71.6279
0.962207,43,71.982848
0.947266,60,72.161992
0.725781,312,73.774414
0.875195,142,74.427014
0.966602,38,74.542483
0.869922,148,75.197443
0.731055,306,76.784353
0.738086,298,78.132342
0.945508,62,78.320599
0.668652,377,80.140217
0.861133,158,81.057055
0.948145,59,81.24002
0.458594,616,84.196451
0.129004,991,88.98474
0.105273,1018,93.924637
0.898926,115,94.28661
0.947266,60,94.730262
0.767969,264,95.962159
0.936719,72,96.381033
0.588672,468,98.456112
0.933203,76,98.966569
0.963965,41,99.087965
0.945508,62,99.473611
0.969238,35,99.585206
0.799609,228,100.698346
0.890137,125,101.269081
0.74248,293,102.608914
0.954297,52,102.759096
0.948145,59,103.156077
0.925293,85,103.413231
0.527148,538,106.120276
0.789062,240,107.253567
0.961328,44,107.414271
0.424316,655,110.465169
0.64668,402,112.342386
0,1024,117.123923
0.965723,39,117.237427
0.796973,231,118.37678
0.86377,155,119.084001
0.728418,309,120.708815
0.949023,58,120.879474
0.642285,407,122.932338
0.963965,41,123.088575
0.750391,284,124.352549
0.961328,44,124.478345
0.853223,167,125.431219
0.970996,33,125.568549
0.833887,189,126.349171
0.883105,133,126.991012
0.430469,648,130.243735
0.866406,152,130.938364
0.956934,49,131.091594
0.937598,71,131.527602
0.921777,89,131.799546
0.963086,42,132.144789
0.679199,365,133.869565
0.780273,250,135.056289
0.947266,60,135.261939
0.840918,181,136.007018
0.915625,96,136.527694
0.930566,79,137.046094
0.974512,29,137.135165
0.753027,281,138.407536
0.86377,155,139.115684
0.963965,41,139.457924
0.71875,320,140.863728
0.593945,462,143.111944
0.957812,48,143.25163
0.67832,366,145.070392
0.191406,920,149.364856
0.642285,407,151.227659
0.75918,274,152.660296
0.912988,99,153.000299
0.38125,704,156.513292
0.85498,165,157.212912
0.870801,147,157.874857
0.800488,227,159.069799
0.975391,28,159.151871
0.927051,83,159.640109
0.697656,344,161.292444
0.87959,137,161.970152
0.523633,542,164.463456
0.854102,166,165.159907
0.765332,267,166.464881
0.956934,49,166.814568
0.948145,59,166.987976
0.796973,231,168.133081
0.75127,283,169.477554
0.949902,57,169.829216
0.880469,136,170.474247
0.700293,341,172.073945
0.772363,259,173.304782
0.8875,128,173.909471
0.892773,122,174.492557
0.886621,129,175.103637
0.811035,215,176.283075
0.822461,202,177.293579
0.95166,55,177.464387
0.575488,483,179.825637
0.970117,34,179.924149
0.715234,324,181.496981
0.968359,36,181.640056
0.94375,64,181.826016
0.919141,92,182.335098
0.796973,231,183.48258
0.619434,433,185.555535
0.865527,153,186.263286
0.34873,741,189.839218
0.872559,145,190.509458
0.800488,227,191.630301
0.623828,428,193.586818
0.899805,114,194.166234
0.657227,390,196.096663
0.926172,84,196.564609
0.766211,266,197.806421
0.797852,230,199.027142
0.760938,272,200.266675
0.750391,284,201.558577
0.932324,77,202.004189
0.730176,307,203.340681
0.960449,45,203.695584
0.60625,448,205.681377
0.637891,412,207.632795
0.894531,120,208.220183
0.853223,167,209.150543
0.844434,177,209.907649
0.85498,165,210.613883
0.969238,35,210.92618
0.949902,57,211.114994
0.619434,433,213.067518
0.949023,58,213.463438
0.956934,49,213.610529
0.840039,182,214.657017
0.876953,140,215.26805
0.867285,151,215.958866
0.838281,184,216.730358
0.968359,36,217.040821
0.819824,205,217.896311
0.611523,442,220.153265
0.852344,168,220.856947
0.95957,46,220.988758
0.845313,176,221.940089
0.948145,59,222.118307
0.960449,45,222.439231
0.834766,188,223.250308
0.889258,126,223.867559
0.905078,108,224.426562
0.856738,163,225.134524
0.658105,389,227.02032
0.886621,129,227.640996
0.828613,195,228.678363
0.502539,566,231.395684
0.794336,234,232.594048
0.973633,30,232.683218
0.767969,264,233.938687
0.933203,76,234.386115
0.802246,225,235.514475
0.941113,67,235.732806
0.410254,671,238.986297
0.939355,69,239.392323
0.92793,82,239.821602
0.888379,127,240.403095
0.518359,548,243.098423
0.744238,291,244.407213
0.971875,32,244.497135
0.950781,56,244.884042
0.750391,284,246.182345
0.796973,231,247.309605
0.833008,190,248.100811
0.965723,39,248.447937
0.960449,45,248.61467
0.956934,49,248.757851
0.221289,886,252.890867
0.916504,95,253.406998
0.944629,63,253.58673
0.745996,289,255.177928
0.973633,30,255.267752
0.680078,364,257.046206
0.731055,306,258.390502
0.50957,558,261.111351
0.861133,158,261.861759
0.635254,415,263.753798
0.703809,337,265.461708
0.853223,167,266.189402
0.801367,226,267.338859
0.407617,674,270.487813
0.351367,738,273.994492
0.96748,37,274.105365
0.753027,281,275.432087
0.723145,315,277.067142
0.970117,34,277.173343
0.949023,58,277.382014
0.939355,69,277.860518
0.761816,271,279.083699
0.870801,147,279.740185
0.96748,37,280.038508
0.688867,354,281.614476
0.49375,576,284.476917
0.729297,308,285.828461
0.970996,33,285.93134
0.666016,380,287.688931
0.933203,76,288.151367
0.771484,260,289.407233
0.656348,391,291.234469
0.864648,154,291.922791
0.91123,101,292.424462
0.958691,47,292.56008
0.441016,636,295.563977
0.877832,139,296.436474
0.866406,152,297.160113
0.231836,874,301.50664
0.865527,153,302.210972
