# {"t_start": 1587189979.3993213, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0,1024,8.396327
0,1024,13.786828
0,1024,19.185301
0.491992,578,22.331425
0,1024,27.691607
0,1024,33.06116
0,1024,38.428658
0.518359,548,41.230146
0,1024,46.591111
0.258203,844,51.137155
0,1024,56.529545
0.19668,914,61.281639
0,1024,66.638764
0.735449,301,68.12357
0.919141,92,68.671519
0.522754,543,71.474552
0.851465,169,72.525854
0.960449,45,72.676371
0.793457,235,73.943473
0.753906,280,75.35967
0.199316,911,80.092211
0.934961,74,80.579311
0.96748,37,80.701119
0.949023,58,80.894759
0.876953,140,81.847152
0.438379,639,85.185904
0,1024,90.54321
0.388281,696,94.061824
0.919141,92,94.611127
0.266992,834,98.838611
0.820703,204,99.991761
0.897168,117,100.62141
0.518359,548,103.408704
0.709961,330,105.243997
0.868164,150,105.990316
0.874316,143,106.712005
0.865527,153,107.467051
0.95957,46,107.619595
0.936719,72,108.104124
0.961328,44,108.250732
0.482324,589,111.438006
0.85498,165,112.231255
0.858496,161,113.008339
0.963965,41,113.385174
0.950781,56,113.569888
0.627344,424,116.277145
0.915625,96,116.64879
0.94375,64,117.154517
0.724023,314,118.862931
0.643164,406,120.955935
0.211621,897,125.640493
0.86377,155,126.643229
0.696777,345,128.273757
0.931445,78,128.775295
0.862012,157,129.54355
0.934961,74,130.031213
0.889258,126,130.692448
0.893652,121,131.338824
0.865527,153,132.090464
0.783789,246,133.389876
0.900684,113,134.004186
0.876953,140,134.70981
0.532422,532,137.45922
0.856738,163,138.243147
0.713477,326,140.086279
0.86377,155,140.854373
0.960449,45,141.004155
0.95957,46,141.398818
0.87959,137,142.094661
0.835645,187,142.960307
0.961328,44,143.346722
0.762695,270,144.737298
0.928809,81,145.012295
0.771484,260,146.359718
0.716992,322,148.156684
0.383008,702,151.717139
0.867285,151,152.701403
0.873437,144,153.420637
0.875195,142,154.146171
0.968359,36,154.265045
0.972754,31,154.367988
0.970117,34,154.725789
0.806641,220,155.707305
0.727539,310,157.463454
0.969238,35,157.581148
0.907715,105,158.175059
0.965723,39,158.305846
0.600098,455,160.790945
0.941113,67,161.015567
0.956055,50,161.423215
0.882227,134,162.114154
0.783789,246,163.418598
0.908594,104,163.768526
