# {"t_start": 1587205968.601843, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0.226562,880,9.137387
0,1024,16.371579
0,1024,23.568757
0,1024,31.0899
0,1024,38.471988
0,1024,45.568379
0,1024,52.91318
0,1024,60.290108
0,1024,67.645467
0,1024,75.208204
0,1024,82.775909
0.625586,426,85.993819
0.648438,400,88.685382
0.628223,423,91.697216
0.905957,107,92.530231
0.466504,607,96.925601
0.673047,372,99.774899
0.623828,428,102.676879
0.852344,168,103.750582
0.945508,62,104.33987
0.783789,246,106.103265
0.912109,100,106.531729
0.892773,122,107.392713
0.865527,153,108.697409
0.847949,173,109.825238
0.920898,90,110.638457
0.956055,50,110.855505
0.806641,220,112.711107
0.924414,86,113.126693
0.30127,795,119.024091
0.910352,102,119.538566
0.484082,587,123.921837
0.591309,465,127.268763
0.640527,409,130.063819
0.299512,797,135.755999
0.585156,472,139.461215
0.872559,145,140.427861
0.905957,107,141.384332
0.826855,197,142.572208
0.969238,35,143.013517
0.91123,101,143.480677
0.644922,404,146.67006
0.75918,274,148.510239
0.452441,623,153.221764
0.889258,126,153.840106
0.962207,43,154.452853
0.966602,38,154.615246
0.618555,434,157.92181
0.934961,74,158.286193
0.83125,192,159.852762
0.936719,72,160.167321
0.934961,74,160.840483
0.824219,200,162.075152
0.562305,498,165.783539
0.955176,51,166.318093
0.473535,599,170.718712
0.940234,68,171.307858
0.850586,170,172.372267
0.636133,414,175.200326
0.947266,60,175.812233
0.958691,47,176.040812
0.795215,233,177.721075
0.913867,98,178.46346
0.829492,194,179.688975
0.970996,33,180.176222
0.891895,123,181.079064
0.918262,93,181.505083
0.95166,55,182.06396
0.876953,140,183.06939
0.869043,149,184.050398
0.435742,642,188.656726
0.473535,599,193.189904
0.968359,36,193.358292
0.83125,192,194.581927
0.970996,33,195.062348
0.836523,186,196.33708
0.916504,95,197.08527
0.651074,397,199.852998
0.811914,214,201.630057
0.857617,162,202.677724
0.945508,62,202.973608
0.846191,175,204.544437
0.92793,82,204.893408
0.687109,356,207.477
0.741602,294,209.483489
0.692383,350,212.16594
0.84707,174,213.558958
0.143945,974,220.411201
0.822461,202,221.977729
0.866406,152,222.96754
0.913867,98,223.846763
0.653711,394,226.698693
0.877832,139,227.66223
0.587793,469,231.020991
0.910352,102,231.528424
0.956055,50,232.045505
0.901563,112,232.966197
0.850586,170,234.081055
0.881348,135,234.987223
0.958691,47,235.195036
0.518359,548,239.353248
0.966602,38,239.53709
0.913867,98,240.4024
0.640527,409,243.273998
0.652832,395,246.108305
0.973633,30,246.252428
0.930566,79,246.905817
0.701172,340,249.109347
0.963086,42,249.601883
0.794336,234,251.276908
0.969238,35,251.429793
0.968359,36,251.581727
0.866406,152,252.71899
0.860254,159,254.071012
0.812793,213,255.481339
0.833887,189,257.078887
0.829492,194,258.363734
0.610645,443,261.891994
0.840039,182,263.061987
0.964844,40,263.244849
0.927051,83,263.950565
0.960449,45,264.192344
0.965723,39,264.765626
0.571973,487,268.396567
0.960449,45,268.633422
0.95957,46,268.860088
0.150977,966,275.931439
0.946387,61,276.188085
0.947266,60,276.79616
0.971875,32,276.965163
0.830371,193,278.442911
0.962207,43,278.682777
0.837402,185,279.850305
0.795215,233,281.687213
0.932324,77,282.356685
0.898047,116,283.215581
0.907715,105,283.675629
0.883105,133,284.848985
0.774121,257,286.635361
0.811035,215,287.951605
0.964844,40,288.539707
0.865527,153,289.659451
0.958691,47,289.859285
0.818945,206,291.541137
0.892773,122,292.427589
0.83916,183,293.668765
0.973633,30,293.811788
0.958691,47,294.422148
0.753906,280,296.483832
0.868164,150,297.485029
0.946387,61,298.028662
0.961328,44,298.268314
0.902441,111,299.065437
0.719629,319,301.093898
0.600098,455,304.4627
0.938477,70,304.783693
0.761816,271,306.757337
0.945508,62,307.365166
0.91123,101,308.244463
0.950781,56,308.524171
0.902441,111,309.344821
0.775,256,311.129885
0.643164,406,314.000495
0.964844,40,314.206526
0.579004,479,317.851073
0.946387,61,318.497336
0.580762,477,321.704469
0.804004,223,323.457383
0.717871,321,325.867748
0.956055,50,326.107391
0.968359,36,326.275797
0.961328,44,326.894953
0.95166,55,327.148107
0.398828,684,331.982533
0.898926,115,332.831221
0.741602,294,335.144763
0.442773,634,339.891682
0,1024,347.463034
0.960449,45,347.664351
0.898926,115,348.597228
0.973633,30,348.725593
0.837402,185,350.183742
0.96748,37,350.380857
0.525391,540,354.163153
0.975391,28,354.281968
0.498145,571,358.415655
0.897168,117,359.204883
0.95957,46,359.408251
0.42959,649,364.119843
0.738965,297,366.051788
0.96748,37,366.643834
0.90332,110,367.507866
0.666016,380,370.168243
0.87959,137,371.15236
0.80752,219,372.44067
0.947266,60,373.04962
0.386523,698,377.823043
0.857617,162,378.843334
0.809277,217,380.538284
0.577246,481,384.218849
0.941113,67,384.523113
0.709961,330,387.036332
0.916504,95,387.787957
