# {"t_start": 1586192361.953058, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,891,9.546762
-20.0,1015,17.472564
-19.0,910,25.088287
-20.0,864,31.74576
-20.0,840,37.779317
-21.0,969,43.925327
-21.0,777,48.828507
-21.0,988,55.050147
-21.0,850,60.70541
-21.0,833,66.116468
-20.0,887,71.823693
-20.0,1040,79.064466
-20.0,988,85.850894
-20.0,952,92.172006
-21.0,787,97.317115
-21.0,837,102.737277
-21.0,823,107.764144
-20.0,916,114.29847
-20.0,836,119.714346
-21.0,823,124.851104
-21.0,780,130.352354
-20.0,832,135.683785
-21.0,885,141.519372
-21.0,912,147.317466
-21.0,908,153.086254
-21.0,836,158.930765
-21.0,759,163.866262
-21.0,901,169.688179
-20.0,963,175.907589
-21.0,818,181.198063
-21.0,852,187.223789
-20.0,1004,194.238559
-21.0,791,199.212742
-21.0,817,204.261755
-21.0,926,210.262263
-21.0,790,215.178481
-20.0,971,221.149289
-21.0,781,226.005978
-20.0,915,231.994908
-21.0,821,237.423582
-21.0,907,243.215194
-19.0,1063,250.184678
-17.0,1186,257.841841
-20.0,918,263.636964
-20.0,870,269.157843
-20.0,1013,275.376294
-19.0,1117,282.750368
-19.0,1150,290.309736
-21.0,1095,297.417531
-20.0,834,302.56918
-21.0,776,307.474462
-21.0,908,313.632707
-20.0,974,319.920836
-19.0,1009,326.352248
-18.0,1111,333.247094
-19.0,1017,339.624212
-20.0,927,345.811468
-21.0,1187,353.291866
-20.0,1078,359.953723
-20.0,1001,366.312946
-19.0,1231,374.174359
-18.0,1158,381.464339
-21.0,899,387.136683
-14.0,1401,395.977448
-17.0,1201,403.458375
-20.0,1143,410.691732
-18.0,1445,419.910931
-21.0,1110,427.029839
-20.0,1329,435.390455
-17.0,1627,445.781802
-20.0,1319,454.071823
-18.0,1839,465.979976
-20.0,1916,477.999045
-19.0,1374,486.805395
-15.0,1953,499.2244
-20.0,1777,510.661698
-20.0,1868,522.810251
-17.0,2135,536.655838
-17.0,1563,546.690624
-12.0,2391,562.498648
-18.0,1876,574.591149
-13.0,1999,587.512202
-6.0,2892,606.103947
-18.0,1708,617.373713
2.0,2994,636.633306
-3.0,3149,657.445667
-18.0,1639,667.77645
-18.0,1631,678.316822
-15.0,2066,691.512525
-12.0,2208,705.615177
-4.0,2925,724.844671
7.0,2627,741.757731
-7.0,2333,756.697345
-7.0,2356,771.803464
-5.0,2964,790.822061
-18.0,2039,803.884054
-13.0,2515,820.170533
-11.0,2353,835.311733
-10.0,2701,852.576586
-10.0,2618,869.485829
6.0,2702,886.816742
-7.0,2475,902.602434
-13.0,2592,919.491494
-9.0,2731,937.017107
9.0,2493,952.971671
-10.0,2868,971.564538
-7.0,3158,991.795815
-8.0,2986,1010.997241
8.0,2728,1028.551468
8.0,2569,1045.074151
-7.0,3562,1068.056921
10.0,2594,1084.777568
-5.0,3365,1106.38293
-4.0,3234,1127.292415
-6.0,2942,1146.274312
-3.0,3044,1165.786765
-5.0,3254,1186.978228
8.0,2404,1202.488975
-12.0,3136,1222.49912
10.0,2504,1238.756315
10.0,2637,1255.692627
15.0,2000,1268.700618
16.0,1967,1281.354016
14.0,2087,1294.772536
17.0,1908,1307.224394
18.0,1806,1318.863284
16.0,2083,1332.545318
19.0,1762,1343.714431
16.0,1952,1356.488338
-4.0,4127,1383.198691
3.0,4309,1411.124542
-9.0,3468,1433.486585
-7.0,3281,1454.497837
18.0,1794,1466.019552
-3.0,4020,1492.16329
-3.0,3804,1516.471698
20.0,1667,1527.183718
-3.0,3960,1552.921138
20.0,1804,1564.60385
15.0,2223,1579.145301
16.0,1822,1590.90352
13.0,2135,1604.738393
3.0,3676,1628.442325
17.0,2110,1642.214685
13.0,2112,1655.66668
-3.0,3870,1680.659004
20.0,1724,1691.850709
17.0,1937,1704.426409
15.0,2145,1718.349315
12.0,2768,1736.297043
18.0,1774,1747.795922
17.0,2014,1760.974226
20.0,1666,1771.721232
4.0,4040,1797.817357
4.0,3359,1819.696812
20.0,1662,1830.480685
16.0,2040,1843.746524
-3.0,3804,1868.128934
4.0,3792,1892.734838
-2.0,3797,1917.337959
19.0,1783,1929.003327
20.0,1662,1939.836035
17.0,1840,1951.825115
19.0,1723,1962.887488
18.0,1903,1975.311753
18.0,1844,1987.126226
20.0,1665,1997.878122
3.0,4196,2024.987841
14.0,1962,2037.749849
17.0,1899,2049.921865
8.0,3187,2070.641409
19.0,1817,2082.358042
-6.0,3702,2106.380515
4.0,4190,2133.529205
13.0,3203,2154.352037
8.0,3161,2174.968003
16.0,2038,2188.091912
14.0,2153,2201.869753
14.0,2563,2218.471132
16.0,2646,2235.607474
10.0,2879,2254.432602
13.0,2399,2269.79484
5.0,3516,2292.735056
18.0,1782,2304.175313
16.0,2070,2317.610545
20.0,1664,2328.351285
16.0,1932,2340.763025
20.0,1726,2351.857477
17.0,2278,2366.674849
17.0,1863,2378.782781
10.0,2954,2397.864401
19.0,1775,2409.412627
18.0,1842,2421.291747
20.0,1696,2432.157789
18.0,1876,2444.460293
20.0,1689,2455.392139
10.0,2781,2473.416943
12.0,2355,2488.6488
15.0,2427,2504.39234
20.0,2127,2518.286
20.0,2073,2531.750877
11.0,2363,2546.946186
20.0,1666,2557.708342
16.0,2274,2572.6055
12.0,2891,2591.456015
20.0,1669,2602.184325
20.0,1665,2612.963921
15.0,2195,2627.183117
15.0,2758,2644.941549
19.0,1745,2656.278962
20.0,1743,2667.487834
17.0,1830,2679.434282
18.0,1825,2691.193294
18.0,1813,2702.868868
20.0,1666,2713.684362
19.0,2060,2727.087133
16.0,1941,2739.568589
18.0,1775,2751.089236
18.0,1845,2763.113933
18.0,1899,2775.328897
18.0,2078,2789.968943
18.0,2197,2804.210918
14.0,2308,2819.185136
21.0,1974,2831.991269
18.0,2011,2845.170474
20.0,2001,2858.191027
20.0,2005,2870.968583
19.0,1739,2882.522808
21.0,1648,2893.361117
20.0,2031,2906.287907
19.0,1924,2918.996069
19.0,2045,2932.025138
