# {"t_start": 1587171136.071265, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,256,4.222496
0,256,6.421675
0,256,8.453194
0.223047,221,10.252064
0.1,256,12.277758
0.342578,187,14.047185
0,256,16.16441
0.595703,115,17.277276
0.627344,106,17.848864
0.799609,57,18.551517
0,256,20.591389
0.342578,187,21.906957
0,256,23.943026
0.669531,94,24.795524
0.60625,112,25.75801
0,256,28.04244
0.855859,41,28.268121
0.433984,161,29.985708
0.346094,186,31.260043
0.782031,62,31.534086
0.697656,86,32.401445
0.954297,13,32.473223
0.933203,19,32.571817
0.929688,20,33.050956
0.669531,94,33.558895
0.933203,19,33.673811
0.514844,138,34.893817
0.898047,29,35.462061
0.71875,80,35.862386
0.521875,136,37.001668
0.258203,211,38.957717
0.8875,32,39.129106
0.824219,50,39.789516
0.704687,84,40.248347
0.49375,144,41.36236
0.929688,20,41.830394
0.370703,179,43.156386
0.845313,44,43.407435
0.201953,227,45.387507
0,256,47.61347
0.518359,137,48.662158
0.451562,156,49.8821
0.676562,92,50.881578
0.237109,217,52.821671
0.813672,53,53.112728
0.789062,60,53.827119
0,256,55.86194
0,256,57.801352
0.595703,115,58.841299
0.883984,33,59.007533
0.919141,23,59.124509
0.627344,106,60.072926
0.60625,112,61.042969
0.8875,32,61.219047
0,256,63.380052
0.219531,222,65.379591
0.936719,18,65.465279
0,256,67.457979
0.876953,35,67.635056
0.813672,53,68.27279
0.810156,54,68.576403
0.223047,221,70.430504
0.824219,50,70.660748
0.592187,116,71.650918
0.4375,160,72.948899
0.771484,65,73.717701
0.789062,60,74.020488
0.936719,18,74.146895
0.500781,142,75.318756
0.588672,117,76.353121
0.947266,15,76.777829
0.827734,49,77.044821
0.152734,241,79.013983
0.722266,79,79.369765
0.251172,213,81.241106
0.518359,137,82.378368
0.8875,32,82.550655
0.83125,48,83.177837
0.574609,121,84.24704
0.933203,19,84.344885
0.827734,49,84.59043
0.370703,179,86.420453
0.94375,16,86.517567
0.891016,31,86.687066
0.708203,83,87.527902
0.479687,148,88.734548
0.869922,37,88.947207
0.926172,21,89.052721
0.789062,60,89.755023
0.957812,12,89.814186
0.824219,50,90.065223
0.131641,247,92.144879
0.894531,30,92.28032
0.912109,25,92.741074
0.409375,168,93.92103
0.711719,82,94.813969
0.799609,57,95.134755
0.711719,82,95.959862
0.876953,35,96.16322
0.859375,40,96.377909
0.764453,67,97.147199
0.567578,123,98.230183
0.775,64,98.570492
0.441016,159,99.822689
0.433984,161,101.518152
0.725781,78,101.87581
0.557031,126,102.846026
0.817187,52,103.474985
0.869922,37,103.664316
0.690625,88,104.48084
0.796094,58,104.735691
0.121094,250,106.733786
0.919141,23,106.838706
0.936719,18,106.923451
0.571094,122,107.911867
0.933203,19,107.995691
0.796094,58,108.626437
0.841797,45,108.837436
