# {"t_start": 1587153795.2565598, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,256,3.303348
0,256,4.643917
0,256,5.939425
0,256,7.261986
0,256,8.553727
0,256,9.829344
0.223047,221,11.075897
0.651953,99,11.662313
0.356641,183,12.486008
0.339062,188,13.569968
0.518359,137,14.359213
0,256,15.658712
0.922656,22,15.723757
0.683594,90,16.264775
0.233594,218,17.430036
0.384766,175,18.258469
0.848828,43,18.38693
0.486719,146,19.073933
0.915625,24,19.434789
0.697656,86,19.739411
0.697656,86,20.252607
0.546484,129,20.929296
0.648438,100,21.48606
0,256,22.769329
0.94375,16,22.818372
0.94375,16,22.871985
0.419922,165,23.692212
0.708203,83,24.200724
0.764453,67,24.39948
0.715234,81,24.886931
0.346094,186,25.940478
0.852344,42,26.11526
0,256,27.438409
0.367188,180,28.295542
0.933203,19,28.35039
0.919141,23,28.657519
0.103516,255,29.946475
0,256,31.255528
0.701172,85,31.562034
0.950781,14,31.607845
0.497266,143,32.290212
0,256,33.593982
0.929688,20,33.895521
0.891016,31,34.013654
0.760938,68,34.214612
0.775,64,34.67357
0.810156,54,34.828199
0.486719,146,35.569553
0.476172,149,36.513455
0,256,37.811222
0.616797,109,38.168618
0,256,39.430797
0.771484,65,39.880682
0.954297,13,39.924595
0.641406,102,40.51232
0.873437,36,40.621628
0.933203,19,40.679608
0.919141,23,40.758899
0.855859,41,41.116063
0.725781,78,41.355845
0.785547,61,41.786536
0.848828,43,41.916065
0.922656,22,41.980908
0.479687,148,42.906387
0.813672,53,43.096227
0.479687,148,43.813596
0.616797,109,44.405954
0.845313,44,44.535312
0.94375,16,44.583242
0.866406,38,45.005074
0.940234,17,45.057501
0.803125,56,45.224831
0.669531,94,45.767041
0.947266,15,45.821013
0.507812,140,46.495945
0.947266,15,46.555251
0,256,47.868792
0.859375,40,48.236741
0.950781,14,48.280233
0.49375,144,48.982312
0.796094,58,49.160924
0.936719,18,49.436999
0.609766,111,49.818921
0.957812,12,49.854348
0.757422,69,50.333593
0.83125,48,50.473553
0.940234,17,50.734253
0.894531,30,50.845835
0.852344,42,50.974204
0.933203,19,51.029939
0.757422,69,51.489678
0.715234,81,51.759071
0.901563,28,52.079437
0,256,53.344628
0.950781,14,53.398979
0.792578,59,53.580578
0.648438,100,54.137106
0.883984,33,54.238636
0.810156,54,54.645086
0.261719,210,55.549262
0.933203,19,55.606343
0.71875,80,56.120387
0.94375,16,56.166625
0.416406,166,56.918573
0.655469,98,57.45115
0.957812,12,57.487562
0.785547,61,57.917873
0.947266,15,57.966265
0.869922,37,58.074177
0.458594,154,58.778053
0.764453,67,59.249756
0.827734,49,59.392475
0,256,60.676738
0.669531,94,61.223968
0.880469,34,61.325221
0.806641,55,61.755569
0.796094,58,61.930784
0.869922,37,62.263558
0.363672,181,63.106616
0.901563,28,63.188051
0.546484,129,63.831589
0.883984,33,63.927721
0.416406,166,64.91545
0.511328,139,65.584563
0.929688,20,65.648109
0.694141,87,66.152734
0.673047,93,66.440018
0.785547,61,66.852194
0.651953,99,67.377727
0.905078,27,67.471694
0.933203,19,67.530686
0.83125,48,67.672501
0.841797,45,68.07252
0.912109,25,68.16006
0.680078,91,68.66171
0.94375,16,68.715151
0.219531,222,69.607623
0.926172,21,69.911095
0.926172,21,69.984739
0.936719,18,70.039239
0.947266,15,70.091841
0.680078,91,70.592084
0.226562,220,71.562202
0.778516,63,72.03153
0.933203,19,72.088638
0.152734,241,73.344019
0.922656,22,73.40766
0.630859,105,73.966455
0.729297,77,74.434348
0.732812,76,74.705919
0.950781,14,74.747469
0.651953,99,75.297008
0,256,76.647018
0.876953,35,76.751022
0.806641,55,77.190807
0,256,78.489869
0.553516,127,79.16188
0.2125,224,80.301399
0.609766,111,80.673907
0.894531,30,80.991456
0.862891,39,81.127681
0.739844,74,81.347418
0.817187,52,81.772233
0.469141,151,82.482182
0.641406,102,83.053499
0.845313,44,83.184209
0.933203,19,83.252167
0.458594,154,84.247769
0.873437,36,84.38726
0.94375,16,84.433429
0.803125,56,84.602654
0.803125,56,85.039396
0.792578,59,85.220159
0.898047,29,85.539946
0.746875,72,85.80871
0.957812,12,85.843652
0.922656,22,85.908162
0.950781,14,85.952169
0.866406,38,86.323702
0,256,87.60306
0.866406,38,87.715332
0.764453,67,88.145677
0.796094,58,88.340107
0.862891,39,88.465492
0.753906,70,88.929807
0.862891,39,89.043466
0.60625,112,89.644296
0.933203,19,89.701138
0.342578,187,90.821095
0.947266,15,90.874732
0.838281,46,91.016934
0.929688,20,91.091139
0.894531,30,91.411304
0.855859,41,91.554318
0.620313,108,92.190524
0.792578,59,92.376434
0.883984,33,92.475397
0.753906,70,92.942472
0.567578,123,93.580256
0.767969,66,93.772939
0.919141,23,94.085859
0.936719,18,94.154921
0.866406,38,94.272575
0.644922,101,94.846572
0.922656,22,94.912016
0.957812,12,94.947087
0.852344,42,95.069931
0.940234,17,95.39287
0.891016,31,95.492096
0.954297,13,95.531623
0.595703,115,96.140169
0.666016,95,96.671378
0.905078,27,96.761146
0.574609,121,97.358009
0.557031,126,97.990756
0.855859,41,98.124159
0.300391,199,99.193647
0.746875,72,99.424094
0.838281,46,99.770706
0.94375,16,99.855696
0.760938,68,100.082729
0.929688,20,100.15067
0.722266,79,100.630983
0.483203,147,101.319996
0.954297,13,101.358219
0.571094,122,101.992686
0.223047,221,103.15171
0.753906,70,103.365388
0.933203,19,103.647881
0.933203,19,103.733279
0.599219,114,104.36026
0.191406,230,105.313062
0.94375,16,105.647197
0.416406,166,106.447417
0.940234,17,106.500719
0.929688,20,106.557825
0.869922,37,106.665222
0.592187,116,107.332019
0.6625,96,107.873946
0.71875,80,108.380348
0.760938,68,108.60637
0.806641,55,109.01124
0,256,110.269433
0.750391,71,110.489091
0.855859,41,110.835361
0.465625,152,111.572773
0.83125,48,111.722921
0.739844,74,112.187844
0.950781,14,112.241157
0.785547,61,112.422626
0.419922,165,113.398124
0.476172,149,114.090834
0.743359,73,114.321057
0.701172,85,114.837686
0.360156,182,115.628579
0.585156,118,116.308118
0.669531,94,116.838688
0.360156,182,117.64113
0.901563,28,117.966357
0.655469,98,118.276938
0.947266,15,118.5389
0.841797,45,118.716665
0.767969,66,118.90346
0.883984,33,119.236679
0.666016,95,119.547324
0.725781,78,120.033628
0.961328,11,120.065792
0.307422,197,121.187652
0,256,122.428276
0.690625,88,122.708556
0.883984,33,123.03686
0.237109,217,123.947756
0.507812,140,124.631579
0.796094,58,125.05743
0.876953,35,125.159894
0.933203,19,125.216975
0.961328,11,125.24956
0.922656,22,125.532676
0.806641,55,125.737141
0.595703,115,126.307168
0,256,127.585235
0.307422,197,128.454396
0.49375,144,129.129202
0.521875,136,130.03657
0,256,131.316357
0.803125,56,131.523293
0.321484,193,132.617247
0.803125,56,132.814406
0.83125,48,132.960193
0.926172,21,133.021759
0.859375,40,133.412415
0.8875,32,133.509896
0.922656,22,133.574218
0.701172,85,134.089587
0.187891,231,135.297257
0.666016,95,135.57911
0.947266,15,135.840377
0.817187,52,136.029503
0.673047,93,136.560087
0.753906,70,136.781846
0.760938,68,137.304954
0.912109,25,137.383224
0.894531,30,137.47851
0.83125,48,137.842529
0.926172,21,137.919707
0.265234,209,138.810248
0.848828,43,139.181989
0.701172,85,139.459385
0.704687,84,139.958907
0.848828,43,140.086815
0.560547,125,140.68508
0.469141,151,141.586059
0.697656,86,141.862976
0.820703,51,142.216987
0.926172,21,142.278023
0.94375,16,142.325818
0.841797,45,142.463116
0.462109,153,143.171823
0.701172,85,143.670584
0.961328,11,143.703628
0.957812,12,143.739904
0.827734,49,144.140039
0.750391,71,144.356895
0.876953,35,144.464425
0.725781,78,144.972044
0.898047,29,145.056905
0.630859,105,145.613483
0.908594,26,145.688557
0.405859,169,146.690779
0.957812,12,146.735779
0.782031,62,146.923722
0.852344,42,147.267344
0.901563,28,147.382288
0.940234,17,147.433678
0.848828,43,147.561816
0.905078,27,147.639587
0.810156,54,148.058679
0.483203,147,148.758325
0.634375,104,149.341539
0.673047,93,149.858268
0.521875,136,150.545319
0.876953,35,150.675849
0.680078,91,151.169423
0.957812,12,151.217228
0.954297,13,151.265287
0.6625,96,151.844033
0.778516,63,152.087504
0.859375,40,152.209954
0.187891,231,153.491618
0.94375,16,153.539799
0.384766,175,154.613413
0.701172,85,154.887792
0.915625,24,155.171266
0.806641,55,155.354108
0.395312,172,156.114173
0,256,157.443306
0,256,158.708982
0.940234,17,158.762955
0.947266,15,159.015719
0.701172,85,159.306038
0.525391,135,159.985642
0.957812,12,160.020468
0.683594,90,160.535523
0.630859,105,161.116062
0.933203,19,161.172263
0.637891,103,161.739388
0.441016,159,162.463843
0.599219,114,163.078049
0.55,128,163.726823
0.950781,14,163.768016
0.736328,75,164.238352
0.778516,63,164.457643
0.753906,70,164.921105
0.739844,74,165.1598
0.634375,104,165.735121
0,256,166.998555
0.286328,203,168.077037
0.957812,12,168.122678
0.666016,95,168.408931
0.908594,26,168.735885
0.961328,11,168.778075
0.940234,17,168.831789
0.796094,58,169.000673
0.947266,15,169.043562
0.293359,201,170.237423
0.855859,41,170.362347
0.915625,24,170.67245
0.725781,78,170.949603
0.370703,179,171.969975
0.933203,19,172.04677
0.862891,39,172.185305
0,256,173.532571
0.8875,32,173.629193
0.901563,28,173.715804
0.739844,74,174.23033
0.915625,24,174.300845
0.799609,57,174.713651
0.279297,205,175.595833
0.767969,66,176.038506
0.922656,22,176.101362
0.588672,117,176.674192
0.866406,38,176.792464
0.908594,26,176.874815
0.26875,208,178.030112
0.557031,126,178.661984
0.880469,34,178.790703
0.6625,96,179.31994
0.690625,88,179.826323
0.83125,48,179.974301
0.855859,41,180.099223
0.862891,39,180.489653
0.891016,31,180.588627
0.824219,50,180.733814
0.736328,75,181.290665
0.957812,12,181.324948
0.704687,84,181.822282
0.950781,14,181.866252
0.940234,17,181.917231
0.915625,24,181.988189
0.472656,150,182.682981
0.317969,194,183.748892
0.704687,84,184.005155
0.919141,23,184.329668
0.827734,49,184.489138
0.866406,38,184.600765
0.430469,162,185.587548
0.683594,90,185.907773
0.778516,63,186.348178
0.922656,22,186.419872
0.571094,122,187.033296
0.954297,13,187.071712
0.644922,101,187.625806
0.803125,56,187.813363
0.778516,63,188.251684
0.961328,11,188.291155
0.957812,12,188.330305
0.933203,19,188.387013
0.898047,29,188.495838
0.194922,229,189.75442
0.957812,12,189.791632
0.634375,104,190.375757
0.279297,205,191.496564
0.813672,53,191.697311
0.894531,30,191.791917
0.919141,23,191.86332
0.486719,146,192.769022
0.880469,34,192.913396
0.817187,52,193.068935
0.648438,100,193.636535
0,256,194.910203
0.658984,97,195.451844
0,256,196.742638
0.869922,37,196.855893
0.954297,13,196.894383
0.894531,30,196.981956
0.841797,45,197.385514
0.905078,27,197.469157
0.799609,57,197.641667
0.922656,22,197.930706
0.950781,14,197.985297
0.954297,13,198.037232
0.859375,40,198.155706
0.961328,11,198.18769
0.933203,19,198.243616
0.876953,35,198.563411
0.803125,56,198.736248
0.810156,54,198.904287
0.922656,22,199.189447
0.933203,19,199.259005
0.950781,14,199.301003
0.94375,16,199.348206
0.873437,36,199.454409
0.578125,120,200.041772
0.947266,15,200.088436
0.954297,13,200.134811
0.855859,41,200.492928
0.866406,38,200.611629
0.388281,174,201.375783
0.845313,44,201.761029
0.803125,56,201.945807
0.244141,215,203.163346
0.578125,120,203.766499
0.602734,113,204.352701
0.898047,29,204.44085
0.813672,53,204.602381
0.708203,83,205.095071
0.743359,73,205.583046
0.796094,58,205.787067
0.483203,147,206.480124
0.736328,75,206.976224
0.690625,88,207.251866
0.950781,14,207.523415
0.778516,63,207.742016
0.803125,56,207.908698
0.592187,116,208.592525
0.912109,25,208.911684
0.845313,44,209.060395
0.658984,97,209.596749
0.855859,41,209.730446
0.497266,143,210.412469
0.848828,43,210.538666
0.866406,38,210.884987
0.567578,123,211.489741
0.936719,18,211.553522
0.173828,235,212.77516
0.792578,59,212.951284
0.321484,193,214.0364
0.94375,16,214.09715
0.817187,52,214.256837
0.936719,18,214.312592
0.430469,162,215.319232
0.799609,57,215.524461
0.627344,106,216.124434
0.848828,43,216.253448
0.367188,180,217.386305
0.767969,66,217.597999
0.620313,108,218.165097
0.894531,30,218.251765
0.891016,31,218.347531
0.933203,19,218.623344
0.901563,28,218.726479
0,256,220.034517
0.711719,82,220.274386
0.644922,101,220.835859
0.961328,11,220.871264
0.701172,85,221.357743
0.757422,69,221.770762
0.676562,92,222.09116
0.869922,37,222.496444
0.961328,11,222.545405
0.535937,132,223.205
0.578125,120,223.814651
0.60625,112,224.153491
0.767969,66,224.676931
0.841797,45,224.808142
0.929688,20,224.867993
0.961328,11,225.124418
0.880469,34,225.250602
0.873437,36,225.356506
0.94375,16,225.406263
0.49375,144,226.12704
0.922656,22,226.43176
0.564062,124,227.056173
0.905078,27,227.159887
0.760938,68,227.366268
0.848828,43,227.746732
0.521875,136,228.416361
0.922656,22,228.492674
0,256,229.79715
0.578125,120,230.437325
0.880469,34,230.54765
0.841797,45,230.682127
0.876953,35,231.024801
0.954297,13,231.079666
0.817187,52,231.245122
0.940234,17,231.298302
0.602734,113,231.88045
0.891016,31,231.974431
0.957812,12,232.220861
0.869922,37,232.373026
0.880469,34,232.471457
0.929688,20,232.53317
0.599219,114,233.131219
0.912109,25,233.204447
0.711719,82,233.710631
0.736328,75,234.16133
0.845313,44,234.347871
0.655469,98,234.883864
0.377734,177,235.685984
0.876953,35,235.788152
0.933203,19,235.844256
0.950781,14,236.098302
0.947266,15,236.148389
0.926172,21,236.22094
0.901563,28,236.312616
0.782031,62,236.725779
0.957812,12,236.774658
0.883984,33,236.88719
0.950781,14,236.932975
0.961328,11,236.967161
0.810156,54,237.340989
0.94375,16,237.424559
0.873437,36,237.544573
0.704687,84,238.018586
0.855859,41,238.160285
0.954297,13,238.198165
0.641406,102,238.835476
0.799609,57,239.006391
0.957812,12,239.049701
0.669531,94,239.590007
0.609766,111,240.187371
0.912109,25,240.264194
0.824219,50,240.684515
0.736328,75,240.952246
0.785547,61,241.361695
0.799609,57,241.556272
0.753906,70,242.071346
0.637891,103,242.412438
0.922656,22,242.713531
0.810156,54,242.909541
0.658984,97,243.488266
0.743359,73,243.725861
0.894531,30,244.026123
0.462109,153,244.791341
0.824219,50,244.939377
0.430469,162,245.709186
0,256,247.000776
0.834766,47,247.39069
0.894531,30,247.484485
0.950781,14,247.525938
0.845313,44,247.662227
0.637891,103,248.215208
0.933203,19,248.274356
0.873437,36,248.722278
0.581641,119,249.339982
0.922656,22,249.426169
0.525391,135,250.125731
0.940234,17,250.176031
0.922656,22,250.244865
0.859375,40,250.36712
0.855859,41,250.736007
0.901563,28,250.819792
0.898047,29,250.903592
0.954297,13,250.941493
0.753906,70,251.385607
0.957812,12,251.423496
0.782031,62,251.602746
0.940234,17,251.865362
0.834766,47,252.026954
0.859375,40,252.146192
0.940234,17,252.20364
0.799609,57,252.642283
0.933203,19,252.696713
0.725781,78,253.19101
0.8875,32,253.305152
0.785547,61,253.491521
0.588672,117,254.12321
0.957812,12,254.158649
0.922656,22,254.517287
0.472656,150,255.239424
0.785547,61,255.427878
0.954297,13,255.465728
0.339062,188,256.532765
0.701172,85,256.809238
0.767969,66,257.285401
0.177344,234,258.507
0.8875,32,258.604118
0.676562,92,259.123929
0.789062,60,259.303542
0.922656,22,259.369835
0.905078,27,259.666529
0.602734,113,260.039714
0.694141,87,260.546397
0.722266,79,261.012269
0.926172,21,261.076745
0.845313,44,261.217925
0.901563,28,261.301161
0.789062,60,261.729216
0.898047,29,261.813849
0.521875,136,262.509669
0.912109,25,262.590717
0.697656,86,263.090778
0.912109,25,263.166389
0.898047,29,263.471407
0.416406,166,264.30204
0.789062,60,264.477134
0.947266,15,264.521009
0.961328,11,264.5523
0.567578,123,265.167982
0.739844,74,265.654513
0.848828,43,265.783252
0.722266,79,266.366578
0.957812,12,266.401561
0.83125,48,266.541701
0.915625,24,266.854299
0.465625,152,267.634756
0.926172,21,267.698952
0.947266,15,267.741691
0.736328,75,268.197285
0.957812,12,268.240437
0.15625,240,269.464423
0.739844,74,269.695821
0.929688,20,269.750752
0.307422,197,270.904262
0.950781,14,270.944841
0.869922,37,271.057659
0,256,272.340284
0.950781,14,272.382433
0.94375,16,272.658709
0.743359,73,272.921104
0.891016,31,273.00978
0.912109,25,273.307867
0.915625,24,273.387349
0.947266,15,273.434575
0.697656,86,273.912144
0.933203,19,274.002835
0.599219,114,274.568553
0,256,275.84722
0.8875,32,275.978582
0.936719,18,276.060611
0.954297,13,276.099141
0.940234,17,276.149458
0.929688,20,276.204316
0.616797,109,276.778512
0.655469,98,277.304894
0.634375,104,277.851089
0.750391,71,278.063325
0.535937,132,278.731937
0.760938,68,279.183605
0.929688,20,279.247834
0.391797,173,280.004964
0.771484,65,280.472952
0.782031,62,280.659286
0.876953,35,280.993455
0.891016,31,281.086812
0.94375,16,281.134461
0.750391,71,281.581284
0.957812,12,281.632911
0.293359,201,282.504152
0.922656,22,282.57059
0.704687,84,283.069772
0.799609,57,283.469165
0.405859,169,284.313799
0,256,285.61295
0.444531,158,286.330481
0.94375,16,286.37643
0.60625,112,286.956216
0.507812,140,287.640202
0.922656,22,287.707155
0.518359,137,288.364613
0.725781,78,288.843388
0.592187,116,289.433097
0.933203,19,289.49076
0.908594,26,289.584687
0.94375,16,289.632872
0.961328,11,289.875708
0.961328,11,289.929031
0.613281,110,290.271407
0.775,64,290.727962
0.796094,58,290.898877
0.715234,81,291.377617
0.894531,30,291.47254
0.950781,14,291.514112
0.739844,74,292.015928
0.694141,87,292.548738
0.940234,17,292.616111
0.775,64,292.808111
0.817187,52,293.202183
0.950781,14,293.256456
0.936719,18,293.317207
0.855859,41,293.43678
0.954297,13,293.473928
0.876953,35,293.814965
0.286328,203,294.71889
0.961328,11,294.760948
0.940234,17,294.82032
0.891016,31,295.238238
0.764453,67,295.475582
0.954297,13,295.52047
0.841797,45,295.881776
0.384766,175,296.6438
0.676562,92,297.211133
0.736328,75,297.440989
0.472656,150,298.163181
0.947266,15,298.446391
0.764453,67,298.651703
0.947266,15,298.696346
0.760938,68,299.125731
0.929688,20,299.188069
0.433984,161,299.889672
0.880469,34,299.989321
0.94375,16,300.262826
0.620313,108,300.605767
0.929688,20,300.878011
0.701172,85,301.142092
0.908594,26,301.225662
0.894531,30,301.545211
0.799609,57,301.71809
0.891016,31,301.82029
0.293359,201,302.909981
0.799609,57,303.095253
0.486719,146,303.992839
0.775,64,304.237869
0.760938,68,304.665248
0.926172,21,304.757557
0.578125,120,305.437228
0.623828,107,305.770612
0.883984,33,306.128732
0.602734,113,306.712888
0.883984,33,306.832531
0.553516,127,307.452964
0.792578,59,307.63428
0.908594,26,307.931857
0.905078,27,308.032933
0.862891,39,308.150702
0.947266,15,308.196792
0.528906,134,308.860876
0.739844,74,309.312195
0.746875,72,309.532362
0.950781,14,309.573366
0.753906,70,310.101027
0.912109,25,310.175289
0.848828,43,310.525738
0.743359,73,310.777683
