# {"t_start": 1587154710.8933122, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0,1024,6.883074
0.376855,709,9.678515
0,1024,13.499779
0,1024,17.2813
0.317969,776,20.147414
0,1024,24.050646
0,1024,27.887372
0,1024,31.732482
0,1024,35.572222
0,1024,39.389683
0,1024,43.184345
0.120215,1001,46.962201
0.442773,634,49.315465
0.696777,345,50.640799
0.494629,575,52.818435
0,1024,56.705209
0.201953,908,60.138637
0.79873,229,61.011444
0.899805,114,61.445161
0.912109,100,61.858669
0.540332,523,63.832115
0.898926,115,64.281483
0.480566,591,66.422009
0.854102,166,67.15081
0.945508,62,67.300711
0.968359,36,67.387294
0.907715,105,67.805996
0.630859,420,69.322502
0.748633,286,70.527959
0.774121,257,71.486912
0.898926,115,71.930261
0.744238,291,72.959044
0.399707,683,75.490438
0.94375,64,75.812566
0.962207,43,75.91724
0.673926,371,77.356445
0.663379,383,78.780564
0.813672,212,79.624125
0.851465,169,80.208718
0.784668,245,81.136716
0.948145,59,81.277171
0.966602,38,81.533009
0.956934,49,81.65296
0.673047,372,83.096153
0.619434,433,84.691004
0.922656,88,85.063005
0.91123,101,85.471285
0.883105,133,85.954154
0.874316,143,86.456955
0.905078,108,86.889735
0.953418,53,87.017032
0.899805,114,87.458444
0.786426,243,88.376998
0.954297,52,88.502171
0.905957,107,88.94864
0.960449,45,89.057023
0.812793,213,89.916394
0.322363,771,92.774398
0.660742,386,94.203332
0.826855,197,95.01039
0.708203,332,96.144786
0.81543,210,96.977442
0.884863,131,97.45928
0,1024,101.282079
0.93584,73,101.675388
0.52627,539,103.644953
0.941113,67,103.806304
0.158887,957,107.510961
0.950781,56,107.647355
0.87959,137,108.1477
0.785547,244,109.070683
0.706445,334,110.435159
0.928809,81,110.633445
0.114941,1007,114.397245
0.933203,76,114.802
0.95166,55,114.934047
0.435742,642,117.304773
0.870801,147,117.822707
0.739844,296,119.087026
0.513086,554,121.084661
0.618555,434,122.628533
0.960449,45,122.905376
0.455078,620,125.293701
0.524512,541,127.264709
0.75918,274,128.304058
0.625586,426,129.881321
0.891895,123,130.342313
0.714355,325,131.628394
0.971875,32,131.706162
0.876074,141,132.209861
0.496387,573,134.533521
0.621191,431,136.073505
0.921777,89,136.509437
0.73457,302,137.57466
0.631738,419,139.082511
0.96748,37,139.387677
0.834766,188,140.010617
0.683594,360,141.432854
0.965723,39,141.526845
0.36543,722,144.270883
0.817187,208,145.12383
0.724902,313,146.209872
0.928809,81,146.620095
0.898047,116,147.06775
0.886621,129,147.539843
0.883105,133,148.101647
0.956055,50,148.222214
0.952539,54,148.352707
0.426953,652,150.795477
0.922656,88,151.225492
0.644043,405,152.765204
0.843555,178,153.525186
0.852344,168,154.088939
0.786426,243,155.006706
0.909473,103,155.423896
0.452441,623,157.735999
0.697656,344,158.889766
0.54209,521,160.80661
0.71875,320,162.076843
0.965723,39,162.168954
0.850586,170,162.735921
0,1024,166.564947
0.956055,50,166.849946
0.781152,249,167.842644
0.916504,95,168.290414
0.960449,45,168.404696
0.91123,101,168.815814
0.862891,156,169.357195
0.902441,111,169.789023
0.973633,30,169.861717
0.95166,55,169.993057
0.923535,87,170.369223
0.836523,186,171.266314
0.448926,627,173.476753
0.488477,582,175.8093
0.942871,65,176.131172
0.812793,213,176.802493
0.441895,635,179.218444
0.963086,42,179.320186
0.866406,152,180.010303
0.803125,224,180.713735
0.954297,52,181.004181
0.963086,42,181.108248
0.750391,284,182.178709
0.669531,376,183.635815
0.859375,160,184.349347
0.796973,231,185.065249
0.855859,164,185.787356
0.95166,55,185.918097
0.957812,48,186.033091
0.738086,298,187.236055
0.931445,78,187.422212
0.95957,46,187.739628
0.700293,341,188.880353
0.814551,211,189.71274
0.715234,324,190.979932
0.97627,27,191.043366
0.944629,63,191.194523
0.76709,265,192.168542
0.908594,104,192.632307
0.739844,296,193.723923
0.94375,64,194.041528
0.964844,40,194.137493
0.948145,59,194.440412
0.880469,136,194.929219
0.680078,364,196.317405
0.735449,301,197.355813
