# {"t_start": 1587154710.8631904, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0,1024,6.912333
0,1024,10.800809
0,1024,14.615932
0,1024,18.407017
0,1024,22.25244
0,1024,26.149633
0,1024,29.945631
0,1024,33.774268
0,1024,37.63895
0.604492,450,39.393257
0,1024,43.187916
0.408496,673,45.629987
0,1024,49.4687
0.757422,276,50.46282
0.315332,779,53.623083
0.547363,515,55.627772
0.525391,540,57.628939
0.633496,417,59.178701
0.930566,79,59.535039
0.685352,358,60.723727
0.36543,722,63.487165
0.709961,330,64.854938
0.888379,127,65.325079
0.907715,105,65.580954
0.766211,266,66.714345
0.789941,239,67.455651
0.811035,215,68.300996
0.407617,674,70.78753
0.892773,122,71.250798
0.692383,350,72.596949
0.92793,82,72.953285
0.772363,259,73.908205
0.689746,353,75.097402
0.741602,294,76.408157
0.884863,131,76.887863
0.772363,259,77.842929
0.63877,411,79.335232
0.892773,122,79.795515
0.964844,40,79.89927
0.947266,60,80.212332
0.923535,87,80.422605
0.898047,116,80.875231
0.426953,652,83.324504
0.595703,460,85.141115
0.288086,810,88.084926
0.816309,209,88.942331
0.931445,78,89.301568
0.941113,67,89.463257
0.724023,314,90.730611
0.921777,89,90.943974
0.95166,55,91.243804
0.963965,41,91.343175
0.619434,433,92.883328
0.934961,74,93.226317
0.476172,596,95.493579
0.471777,601,97.60573
0.804004,223,98.472235
0.833008,190,99.265765
0.889258,126,99.758554
0.966602,38,99.85319
0.168555,946,103.34525
0.822461,202,104.175432
0.842676,179,104.776834
0.363672,724,107.580181
0.615918,437,109.139081
0.963086,42,109.408443
0.42168,658,111.891047
0.930566,79,112.083814
0.949023,58,112.388389
0.953418,53,112.512713
0.661621,385,113.946647
0.87168,146,114.462492
0.762695,270,115.499999
0.697656,344,116.821796
0.941113,67,117.146379
0.583398,474,118.788427
0.688867,354,120.19498
0.75918,274,121.182257
0.775,256,122.131979
0.837402,185,122.910518
0.644043,405,124.450662
0.876074,141,124.953766
0.956055,50,125.073876
0.944629,63,125.394617
0.779395,251,126.332887
0.679199,365,127.762527
0.886621,129,128.237454
0.869043,149,128.815645
0.749512,285,129.830477
0.968359,36,129.918196
0.855859,164,130.652725
0.891895,123,131.112644
0.931445,78,131.301307
0.946387,61,131.612398
0.892773,122,132.06927
0.920898,90,132.288049
0.800488,227,133.22532
0.52627,539,135.249017
0.168555,946,138.911899
0.862891,156,139.508335
0.891016,124,139.975767
0.96748,37,140.064579
0.920898,90,140.450054
0.799609,228,141.386197
0.830371,193,142.017104
0.86377,155,142.554486
0.394434,689,145.243167
0.608008,446,146.866826
0,1024,150.7741
0.889258,126,151.295709
0.95166,55,151.65264
0.867285,151,152.180045
0.62998,421,153.696576
0.854102,166,154.260355
0.926172,84,154.628493
0.616797,436,156.331863
0.932324,77,156.515625
0.953418,53,156.812661
0.500781,568,158.832198
0.95957,46,158.941647
0.789941,239,159.846468
0.919141,92,160.234202
0.933203,76,160.581498
0.704687,336,161.726776
0,1024,165.553434
0.97627,27,165.618982
0.936719,72,165.950251
0.901563,112,166.38227
0.679199,365,167.821343
0.805762,221,168.580894
0.75127,283,169.757494
0.941992,66,169.918373
0.811035,215,170.821703
0.949902,57,170.960828
0.910352,102,171.432739
0.767969,264,172.388327
0.954297,52,172.510271
0.905078,108,172.934656
0.912988,99,173.393312
0.948145,59,173.698924
0.956055,50,173.822241
0.919141,92,174.20769
0.783789,246,175.193529
0.870801,147,175.753785
0.835645,187,176.370256
0.849707,171,177.102479
0.974512,29,177.171371
0.905078,108,177.596074
0.972754,31,177.67013
0.954297,52,177.79372
0.820703,204,178.679137
0.699414,342,179.997816
0.882227,134,180.479167
0.927051,83,180.68458
0.936719,72,181.02096
0.745996,289,182.105288
0.907715,105,182.52086
0.689746,353,183.926882
0.769727,262,184.882056
0.956934,49,184.99987
0.958691,47,185.112471
0.948145,59,185.418073
0.95957,46,185.527953
0.845313,176,186.278206
0.964844,40,186.373847
0.955176,51,186.49686
0.46123,613,188.819467
0.955176,51,189.105447
0.965723,39,189.199664
0.888379,127,189.666705
0.93584,73,189.838946
0.91123,101,190.250794
0.446289,630,192.635492
0.950781,56,192.931367
0.750391,284,193.995075
0.683594,360,195.345785
0.717871,321,196.468471
0.962207,43,196.571079
0,1024,200.386725
0.883984,132,200.877274
0.968359,36,201.133328
0.963086,42,201.232583
0.974512,29,201.3023
0.760059,273,202.318605
0.822461,202,203.131039
0.681836,362,204.495233
0.966602,38,204.587392
0.962207,43,204.689916
0.970996,33,204.935477
0.838281,184,205.540771
0.975391,28,205.607093
0.914746,97,206.001111
0.915625,96,206.397306
0.697656,344,207.72555
0.918262,93,207.947459
0.842676,179,208.759641
0.961328,44,208.863243
0.960449,45,208.974365
0.941113,67,209.29745
0.586035,471,211.328963
0.873437,144,211.965875
0.778516,252,213.012723
0.661621,385,214.680371
0.830371,193,215.342358
0.79082,238,216.239625
0.965723,39,216.331304
0.853223,167,217.056611
0.761816,271,218.030864
0.919141,92,218.25274
0.908594,104,218.667013
0.925293,85,219.036131
0.842676,179,219.689216
0.963965,41,219.953242
0.896289,118,220.400745
0.637012,413,221.881484
0.83916,183,222.484391
0.791699,237,223.383104
0.975391,28,223.450284
0.969238,35,223.697878
0.85498,165,224.269509
0.827734,196,224.903577
0.971875,32,225.200385
0.971875,32,225.280257
0.971875,32,225.356201
0.91123,101,225.812205
0.927051,83,226.179666
0.804004,223,226.931759
0.912109,100,227.331931
0.75918,274,228.318762
0.840918,181,229.132411
0.752148,282,230.255309
0.966602,38,230.347203
0.81543,210,231.184927
0.45332,622,233.50828
0.901563,112,233.940056
0.942871,65,234.100108
0.756543,277,235.154439
0.852344,168,235.884002
0.890137,125,236.350211
0.547363,515,238.257965
0.885742,130,238.780679
0.949023,58,238.927767
0.82334,201,239.747799
0.926172,84,239.953089
0.964844,40,240.214642
0.973633,30,240.285773
0.894531,120,240.742873
0.746875,288,241.822066
0.801367,226,242.693033
0.403223,679,245.182481
0.971875,32,245.260036
0.342578,748,248.121804
0.92002,91,248.506294
0.913867,98,248.903452
0.829492,194,249.527239
0.929688,80,249.881706
0.961328,44,249.987092
0.965723,39,250.084696
0.937598,71,250.421955
0.91123,101,250.828693
0.932324,77,251.015168
0.828613,195,251.811283
0.975391,28,251.879637
0.926172,84,252.248467
0.241504,863,255.529674
0.707324,333,256.669379
0.701172,340,258.027763
0.861133,158,258.570842
0.737207,299,259.624024
0.743359,292,260.821222
0.789941,239,261.563694
0.956055,50,261.847086
0.961328,44,261.951938
0.969238,35,262.035867
0.850586,170,262.776536
0.544727,518,264.695858
0.972754,31,264.770806
0.513086,554,266.762277
0.79082,238,267.672175
0.513086,554,269.832495
0.830371,193,270.461068
0.975391,28,270.529118
0.107031,1016,274.316166
0.608887,445,276.061219
0.677441,367,277.451754
0.549121,513,279.407676
0.964844,40,279.501382
0.883105,133,279.989043
0.712598,327,281.276592
0.48584,585,283.423171
0.446289,630,285.814735
0.894531,120,286.268231
0.923535,87,286.639949
0.876953,140,287.14267
0.599219,456,288.747827
0.968359,36,288.996616
