# {"t_start": 1587153929.4000292, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,256,4.039621
0,256,5.255521
0,256,6.461275
0.198437,228,7.567844
0,256,8.784673
0,256,9.976437
0,256,11.160934
0,256,12.381375
0,256,13.573887
0,256,14.815781
0,256,16.002496
0,256,17.218179
0,256,18.430002
0.180859,233,19.621189
0,256,20.831189
0.933203,19,20.884919
0.690625,88,21.36336
0.71875,80,21.794036
0.701172,85,22.081559
0.564062,124,22.650096
0.919141,23,22.715643
0.518359,137,23.339288
0.775,64,23.740334
0.683594,90,24.236985
0.799609,57,24.431799
0.859375,40,24.555566
0.342578,187,25.560677
0.894531,30,25.653091
0.623828,107,26.191754
0.912109,25,26.26401
0.908594,26,26.338818
0.891016,31,26.626541
0.384766,175,27.390158
0.585156,118,27.948717
0.873437,36,28.051664
0.504297,141,28.687102
0.841797,45,29.080863
0.398828,171,29.824777
0,256,31.043317
0.680078,91,31.513633
0.49375,144,32.248505
0.711719,82,32.486468
0.757422,69,32.899554
0.592187,116,33.463233
0.919141,23,33.527861
0.876953,35,33.631211
0,256,34.830648
0.609766,111,35.409102
0.676562,92,35.912596
0,256,37.201831
0.412891,167,37.927734
0.690625,88,38.404919
0,256,39.638881
0.307422,197,40.433992
0.841797,45,40.801074
0.666016,95,41.26347
0.483203,147,41.918613
0,256,43.133493
0.342578,187,43.914868
0.405859,169,44.635394
0.947266,15,44.873928
0.743359,73,45.116269
0.753906,70,45.513891
0.898047,29,45.597921
0.546484,129,46.240417
0.497266,143,46.875873
0.736328,75,47.305317
0.957812,12,47.346356
0.912109,25,47.422252
0.655469,98,47.94146
0.673047,93,48.222788
0,256,49.400539
0.789062,60,49.78477
0,256,51.162745
0.317969,194,51.986243
0.912109,25,52.261229
0.613281,110,52.611979
0.511328,139,53.433457
0,256,54.664859
0.891016,31,54.765648
0.521875,136,55.396462
0.891016,31,55.487274
0.599219,114,56.09528
0.782031,62,56.282868
0.644922,101,56.818373
0.412891,167,57.732162
0.430469,162,58.465546
0.940234,17,58.515692
0.789062,60,58.68708
0.922656,22,58.962469
0.936719,18,59.024045
0.827734,49,59.171205
0.915625,24,59.238983
0.824219,50,59.610975
0.560547,125,60.202316
0.778516,63,60.408278
0.827734,49,60.749899
0.557031,126,61.349716
0.929688,20,61.436651
0.71875,80,61.682017
0.711719,82,62.159976
