# {"t_start": 1587149927.6620471, "env_id": "MiniGrid-Empty-6x6-v0"} 
r,l,t
0,144,3.649582
0,144,4.164121
0,144,4.680229
0,144,5.195767
0.125,140,5.700412
0,144,6.211856
0,144,6.724863
0,144,7.238466
0,144,7.928412
0.23125,123,8.395178
0.50625,79,8.588096
0.28125,115,9.034586
0.15,136,9.535685
0.58125,67,9.862262
0.79375,33,9.942883
0,144,10.454914
0.6875,50,10.574796
0.80625,31,10.816937
0.61875,61,10.966136
0.6625,54,11.260945
0.61875,61,11.406754
0.9125,14,11.440247
0,144,11.953168
0.86875,21,12.003385
0.5,80,12.381112
0.9125,14,12.416253
0,144,12.94022
0.475,84,13.306482
0.90625,15,13.342735
0.5625,70,13.68341
0,144,14.198015
0.74375,41,14.296215
0.8875,18,14.339701
0.5,80,14.701245
0.7625,38,14.792746
0.2375,122,15.255134
0.3625,102,15.668075
0.53125,75,15.849091
0.83125,27,16.081753
0.95,8,16.101102
0,144,16.614127
0.35,104,17.035459
0,144,17.547504
0.88125,19,17.593611
0.86875,21,17.645184
0.45,88,18.025195
0.64375,57,18.162925
0.7375,42,18.432288
0,144,18.94703
0.8,32,19.023937
0.76875,37,19.112223
0.79375,33,19.191299
0.19375,129,19.840997
0.74375,41,19.9426
0.93125,11,19.970028
0.60625,63,20.120767
0,144,20.798424
0.50625,79,20.988041
0.26875,117,21.433775
0.94375,9,21.455903
0.89375,17,21.496922
0.6625,54,21.801607
0.95,8,21.821053
0.94375,9,21.842762
0.775,36,21.929891
0.74375,41,22.029533
0.925,12,22.225174
0.475,84,22.432078
0.91875,13,22.463225
0.9375,10,22.487594
0.60625,63,22.806675
0.15625,135,23.300683
0.46875,85,23.673084
0.4875,82,23.874983
0.61875,61,24.192873
0.53125,75,24.372957
0.5875,66,24.69919
0.16875,133,25.19412
0.65,56,25.331217
0.8625,22,25.385012
0.46875,85,25.757416
0.93125,11,25.78491
0.875,20,25.833261
0,144,26.343541
0.875,20,26.559089
0.3625,102,26.803694
0.53125,75,27.151322
0.9,16,27.189921
0.9375,10,27.214403
0.85625,23,27.269649
0.73125,43,27.539358
0.7625,38,27.630072
0,144,28.141325
0.7125,46,28.252026
0.85625,23,28.473282
0.5375,74,28.649563
0.94375,9,28.671312
0.90625,15,28.707077
0.88125,19,28.921937
0.7125,46,29.036063
0.63125,59,29.181135
0.78125,35,29.438606
0.675,52,29.56337
0.76875,37,29.653466
0.9125,14,29.687573
0.9125,14,29.888651
0.93125,11,29.915763
0.7125,46,30.02725
0.64375,57,30.164998
0.85,24,30.388858
0.90625,15,30.424745
0.8875,18,30.468166
0.43125,91,30.851484
0.6,64,31.008037
0.2375,122,31.473423
0,144,31.984442
0,144,32.501611
0.89375,17,32.542649
0.60625,63,32.859316
0.6125,62,33.009655
0.8,32,33.256779
0.8625,22,33.308836
0.61875,61,33.455049
0.56875,69,33.79225
0.74375,41,33.890402
0.8625,22,33.943913
0.90625,15,34.144853
0.85,24,34.201909
0.9375,10,34.225798
0.94375,9,34.248104
0.9,16,34.286156
0,144,34.797839
0.91875,13,34.829896
0.93125,11,34.856497
0.94375,9,34.877796
0.81875,29,35.112073
0.775,36,35.199075
0.525,76,35.382209
0.625,60,35.691929
0.5625,70,35.860924
0.83125,27,36.094556
0.925,12,36.123656
0.90625,15,36.160027
0.8625,22,36.213477
0.7875,34,36.296916
0.8125,30,36.53882
0.1375,138,37.039509
0.8,32,37.120725
0.29375,113,37.56696
0.85,24,37.624782
0.11875,141,38.133569
0.54375,73,38.480777
0.65625,55,38.618195
0.74375,41,38.717754
0.91875,13,38.748771
0.90625,15,38.949297
0.31875,109,39.212709
0.85625,23,39.437711
0,144,39.959835
0.90625,15,39.996123
0.84375,25,40.057665
0.65625,55,40.191309
0.93125,11,40.383235
0.9375,10,40.408425
0.84375,25,40.46839
0.76875,37,40.558671
0.675,52,40.852842
0.925,12,40.88255
0.7375,42,40.984283
0.91875,13,41.015747
0.6875,50,41.136235
0.81875,29,41.37016
0.95,8,41.389576
0.8375,26,41.451851
0.575,68,41.614622
0.95,8,41.800199
0.63125,59,41.943175
0.76875,37,42.034109
0.66875,53,42.328372
0.51875,77,42.51503
0.375,100,42.917593
0,144,43.430808
0.54375,73,43.77671
0.89375,17,43.817705
0.775,36,43.904074
0.7,48,44.187871
0.76875,37,44.279404
0.95,8,44.298744
0.63125,59,44.440311
0.925,12,44.469253
0.95625,7,44.650721
0.5375,74,44.830611
0.83125,27,44.896716
0.1375,138,45.396538
0.6875,50,45.68492
0.95,8,45.704199
0.8125,30,45.775841
0.9375,10,45.800631
0.60625,63,46.119412
0.56875,69,46.283681
0.61875,61,46.598834
0.94375,9,46.621191
0.95,8,46.64068
0.875,20,46.689529
0.5875,66,46.849552
0.925,12,47.048541
0.7875,34,47.131295
0.3375,106,47.559375
0.63125,59,47.702469
0.80625,31,47.778404
0.5375,74,48.122058
0.21875,125,48.595206
0.9125,14,48.629621
0.59375,65,48.953424
0.88125,19,49.000531
0.45,88,49.213673
0.8125,30,49.453396
0.91875,13,49.485121
0.93125,11,49.511768
0.90625,15,49.548019
0.375,100,49.954836
0.625,60,50.103403
0.875,20,50.152381
0.9375,10,50.17732
0.91875,13,50.375324
0.8625,22,50.430928
0.75,40,50.529128
0.925,12,50.558402
0.85625,23,50.61485
