# {"t_start": 1587159942.410801, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,256,4.560777
0.430469,162,5.961871
0,256,7.681028
0,256,9.450796
0.325,192,10.610021
0,256,12.309896
0.817187,52,12.850683
0.500781,142,13.803554
0.251172,213,15.100719
0.405859,169,16.491107
0.223047,221,17.764719
0.859375,40,18.277584
0.240625,216,19.52316
0,256,21.280263
0,256,23.017025
0.796094,58,23.604065
0.567578,123,24.476967
0.398828,171,25.532841
0.936719,18,25.60772
0.8875,32,26.053778
0.757422,69,26.355099
0,256,28.07823
0.507812,140,28.999431
0,256,30.726915
0.419922,165,32.076241
0.532422,133,32.98577
0.483203,147,33.947356
0.782031,62,34.207413
0.690625,88,34.917626
0.725781,78,35.551344
0,256,37.32862
0.915625,24,37.482644
0.666016,95,37.900999
0.873437,36,38.389708
0.518359,137,39.28126
0.300391,199,40.421236
0.817187,52,40.997133
0,256,42.737459
0.504297,141,43.679612
0.356641,183,44.773036
0.419922,165,46.121225
0.609766,111,46.61063
0.683594,90,47.30299
0.954297,13,47.356345
0.862891,39,47.828547
0.595703,115,48.346573
0.233594,218,49.891375
0.739844,74,50.508399
0.609766,111,51.2894
0.859375,40,51.476783
0.767969,66,51.747728
0.912109,25,52.168359
0.697656,86,52.556417
0.743359,73,53.219501
0.852344,42,53.399403
0.869922,37,53.55189
0.191406,230,55.189456
0.732812,76,55.84233
0.599219,114,56.662998
0.94375,16,56.729893
0.94375,16,56.795059
0.8875,32,56.932058
0.412891,167,58.302428
0.810156,54,58.545907
0.940234,17,58.627299
0.898047,29,58.752362
0.922656,22,59.132441
0.307422,197,60.347016
0.869922,37,60.501652
0.518359,137,61.408593
0.796094,58,61.982447
0.528906,134,62.870024
0.483203,147,63.834072
0,256,65.542439
0.83125,48,65.744528
0.954297,13,66.102348
0.282813,204,67.291303
0,256,69.015099
0.736328,75,69.649544
0.55,128,70.565633
0.300391,199,71.730227
0.817187,52,72.294892
0.912109,25,72.4026
0.799609,57,72.660446
0.778516,63,73.279815
0.205469,226,74.890928
0.827734,49,75.118834
0,256,76.867874
0.771484,65,77.144843
0.919141,23,77.571901
0.715234,81,77.928436
0.940234,17,77.999545
0.957812,12,78.332964
0.954297,13,78.421359
0.891016,31,78.579031
0.782031,62,78.846652
0.915625,24,79.238437
0.760938,68,79.568592
0.817187,52,79.788824
0.880469,34,80.265428
0.641406,102,81.003063
0.722266,79,81.36763
0.750391,71,82.002274
0.950781,14,82.063971
0.514844,138,82.993398
0.620313,108,83.775947
0.933203,19,83.855538
0.792578,59,84.119485
0.915625,24,84.518463
0.715234,81,84.899455
0.711719,82,85.595141
0.644922,101,86.337981
0.845313,44,86.541684
0.915625,24,86.642922
0.325,192,88.108569
0.869922,37,88.279441
0.623828,107,89.070443
0.799609,57,89.312741
0.701172,85,90.014323
0.933203,19,90.095177
0.834766,47,90.290795
0.961328,11,90.337087
0.947266,15,90.72543
0.852344,42,90.921474
0.680078,91,91.645229
0.922656,22,91.74503
0.848828,43,91.926998
0.448047,157,92.925524
0.929688,20,93.307465
0.898047,29,93.479309
0.94375,16,93.548329
0.511328,139,94.474363
0.950781,14,94.533376
0.954297,13,94.58782
0.388281,174,95.977371
0.947266,15,96.07751
0.901563,28,96.227078
0.834766,47,96.422308
0.634375,104,97.182488
0.820703,51,97.39596
0.898047,29,97.859568
0.883984,33,98.00167
0.83125,48,98.20189
0.813672,53,98.760605
0.789062,60,99.02716
0.599219,114,99.843202
0.859375,40,100.011432
0.813672,53,100.558713
0,256,102.309695
0.961328,11,102.356379
0.880469,34,102.498718
0.546484,129,103.404983
0.848828,43,103.584523
0.827734,49,104.142083
0.926172,21,104.229759
0.898047,29,104.351009
0.957812,12,104.400972
0.94375,16,104.467331
0.729297,77,105.136797
0.933203,19,105.217398
0.929688,20,105.301034
0.820703,51,105.827504
0.912109,25,105.932311
0.947266,15,105.995557
0.936719,18,106.070465
0.208984,225,107.678398
0.957812,12,107.729821
0.680078,91,108.463652
0.820703,51,108.676356
0.954297,13,108.730483
0.838281,46,109.26771
0.94375,16,109.343601
0.883984,33,109.482525
0.687109,89,110.167905
0.957812,12,110.220892
0.753906,70,110.516052
0.961328,11,110.561846
0.785547,61,111.140469
0.929688,20,111.224459
0.767969,66,111.835166
0.954297,13,111.898318
0.950781,14,111.958432
0.940234,17,112.030073
0.94375,16,112.102466
0.936719,18,112.182129
0.876953,35,112.328926
0.954297,13,112.702908
0.957812,12,112.766479
0.602734,113,113.569093
0.915625,24,113.698518
0.950781,14,113.759892
0.908594,26,113.869193
0.954297,13,113.923931
0.933203,19,114.003446
0.862891,39,114.507008
0.940234,17,114.596329
0.954297,13,114.654661
0.957812,12,114.70452
0.950781,14,114.762578
0.859375,40,114.941963
0.880469,34,115.421301
0.771484,65,115.710495
0.957812,12,115.765445
0.950781,14,115.823939
0.933203,19,116.195349
0.947266,15,116.301876
0.954297,13,116.373288
0.929688,20,116.472995
0.957812,12,116.530676
0.947266,15,116.593537
0.957812,12,116.645503
0.961328,11,116.690305
0.936719,18,116.765849
0.957812,12,117.111091
0.855859,41,117.347328
0.933203,19,117.426362
0.954297,13,117.480829
0.950781,14,117.539523
0.954297,13,117.594246
0.950781,14,117.654915
0.898047,29,118.10734
0.954297,13,118.177123
0.961328,11,118.226192
0.961328,11,118.272413
0.957812,12,118.322851
0.954297,13,118.381029
0.961328,11,118.427962
0.957812,12,118.478909
0.94375,16,118.555218
0.954297,13,118.609004
0.680078,91,119.334014
0.950781,14,119.39266
0.954297,13,119.44689
0.957812,12,119.777243
0.891016,31,119.947243
0.961328,11,119.996504
0.957812,12,120.045892
0.950781,14,120.104156
0.954297,13,120.162527
0.940234,17,120.238113
0.936719,18,120.312109
0.954297,13,120.657041
0.957812,12,120.74049
0.954297,13,120.809422
0.961328,11,120.860049
0.961328,11,120.917965
0.957812,12,120.971087
0.957812,12,121.034654
0.957812,12,121.086274
0.954297,13,121.140891
0.961328,11,121.18731
0.954297,13,121.242988
0.957812,12,121.590459
0.950781,14,121.670881
0.905078,27,121.785051
